Neighborhood,Value,,,,,,,,,,,,,,,,,,,,,,,,
Midtown,17456,,,,,,,,,,,,,,,,,,,,,,,,
Upper East Side,15818,,,,,,,,,,,,,,,,,,,,,,,,
Upper West Side,11410,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,9073,,,,,,,,,,,,,,,,,,,,,,,,
Hell's Kitchen,6121,,,,,,,,,,,,,,,,,,,,,,,,
East Village,4044,,,,,,,,,,,,,,,,,,,,,,,,
West Village,3982,,,,,,,,,,,,,,,,,,,,,,,,
Theater District,3714,,,,,,,,,,,,,,,,,,,,,,,,
Murray Hill,2906,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Village,2422,,,,,,,,,,,,,,,,,,,,,,,,
SoHo,2320,,,,,,,,,,,,,,,,,,,,,,,,
Kips Bay,2249,,,,,,,,,,,,,,,,,,,,,,,,
East Harlem,2099,,,,,,,,,,,,,,,,,,,,,,,,
Gramercy,1959,,,,,,,,,,,,,,,,,,,,,,,,
Financial District,1951,,,,,,,,,,,,,,,,,,,,,,,,
Harlem,1928,,,,,,,,,,,,,,,,,,,,,,,,
Central Park,1691,,,,,,,,,,,,,,,,,,,,,,,,
Flatiron District,1689,,,,,,,,,,,,,,,,,,,,,,,,
Tribeca,1653,,,,,,,,,,,,,,,,,,,,,,,,
Lower East Side,1600,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,1379,,,,,,,,,,,,,,,,,,,,,,,,
Morningside Heights,1058,,,,,,,,,,,,,,,,,,,,,,,,
LaGuardia Airport,1033,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,1001,,,,,,,,,,,,,,,,,,,,,,,,
John F. Kennedy International Airport,772,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,739,,,,,,,,,,,,,,,,,,,,,,,,
NoHo,663,,,,,,,,,,,,,,,,,,,,,,,,
Washington Heights,646,,,,,,,,,,,,,,,,,,,,,,,,
Long Island City,603,,,,,,,,,,,,,,,,,,,,,,,,
Stuyvesant Town,558,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown,508,,,,,,,,,,,,,,,,,,,,,,,,
Nolita,495,,,,,,,,,,,,,,,,,,,,,,,,
Greenpoint,468,,,,,,,,,,,,,,,,,,,,,,,,
Bedford-Stuyvesant,426,,,,,,,,,,,,,,,,,,,,,,,,
Park Slope,368,,,,,,,,,,,,,,,,,,,,,,,,
Bushwick,295,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside,275,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Heights,274,,,,,,,,,,,,,,,,,,,,,,,,
Crown Heights,267,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Hill,240,,,,,,,,,,,,,,,,,,,,,,,,
Ditmars Steinway,232,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Brooklyn,231,,,,,,,,,,,,,,,,,,,,,,,,
East Elmhurst,217,,,,,,,,,,,,,,,,,,,,,,,,
Fort Greene,201,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,178,,,,,,,,,,,,,,,,,,,,,,,,
Little Italy,177,,,,,,,,,,,,,,,,,,,,,,,,
Carroll Gardens,165,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Heights,157,,,,,,,,,,,,,,,,,,,,,,,,
Woodside,153,,,,,,,,,,,,,,,,,,,,,,,,
Inwood,143,,,,,,,,,,,,,,,,,,,,,,,,
Elmhurst,134,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Park,130,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Heights,128,,,,,,,,,,,,,,,,,,,,,,,,
Boerum Hill,126,,,,,,,,,,,,,,,,,,,,,,,,
DUMBO,119,,,,,,,,,,,,,,,,,,,,,,,,
Gowanus,115,,,,,,,,,,,,,,,,,,,,,,,,
South Slope,112,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,104,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills,103,,,,,,,,,,,,,,,,,,,,,,,,
Flushing,101,,,,,,,,,,,,,,,,,,,,,,,,
Flatbush,89,,,,,,,,,,,,,,,,,,,,,,,,
Two Bridges,82,,,,,,,,,,,,,,,,,,,,,,,,
Mott Haven,80,,,,,,,,,,,,,,,,,,,,,,,,
Maspeth,79,,,,,,,,,,,,,,,,,,,,,,,,
Rego Park,67,,,,,,,,,,,,,,,,,,,,,,,,
Prospect-Lefferts Gardens,66,,,,,,,,,,,,,,,,,,,,,,,,
Bay Ridge,62,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,61,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt Island,61,,,,,,,,,,,,,,,,,,,,,,,,
Highbridge,52,,,,,,,,,,,,,,,,,,,,,,,,
Kingsbridge,46,,,,,,,,,,,,,,,,,,,,,,,,
Ridgewood,45,,,,,,,,,,,,,,,,,,,,,,,,
Kensington,44,,,,,,,,,,,,,,,,,,,,,,,,
Windsor Terrace,43,,,,,,,,,,,,,,,,,,,,,,,,
Fort Hamilton,43,,,,,,,,,,,,,,,,,,,,,,,,
Concourse Village,39,,,,,,,,,,,,,,,,,,,,,,,,
Corona,39,,,,,,,,,,,,,,,,,,,,,,,,
East Flatbush,37,,,,,,,,,,,,,,,,,,,,,,,,
Columbia St,35,,,,,,,,,,,,,,,,,,,,,,,,
Midwood,34,,,,,,,,,,,,,,,,,,,,,,,,
Fordham,34,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,33,,,,,,,,,,,,,,,,,,,,,,,,
Red Hook,33,,,,,,,,,,,,,,,,,,,,,,,,
Morrisania,32,,,,,,,,,,,,,,,,,,,,,,,,
Concourse,29,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,29,,,,,,,,,,,,,,,,,,,,,,,,
Longwood,28,,,,,,,,,,,,,,,,,,,,,,,,
Richmond Hill,27,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Park,26,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,26,,,,,,,,,,,,,,,,,,,,,,,,
Gravesend,26,,,,,,,,,,,,,,,,,,,,,,,,
Middle Village,25,,,,,,,,,,,,,,,,,,,,,,,,
Randall's Island,25,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,25,,,,,,,,,,,,,,,,,,,,,,,,
Norwood,25,,,,,,,,,,,,,,,,,,,,,,,,
Kew Gardens,25,,,,,,,,,,,,,,,,,,,,,,,,
Borough Park,25,,,,,,,,,,,,,,,,,,,,,,,,
Vinegar Hill,25,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale,24,,,,,,,,,,,,,,,,,,,,,,,,
Bensonhurst,24,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,21,,,,,,,,,,,,,,,,,,,,,,,,
