Neighborhood,Value,,,,,,,,,,,,,,,,,,,,,,,,
Midtown,18908,,,,,,,,,,,,,,,,,,,,,,,,
Upper East Side,15998,,,,,,,,,,,,,,,,,,,,,,,,
Upper West Side,12539,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,10766,,,,,,,,,,,,,,,,,,,,,,,,
Hell's Kitchen,6529,,,,,,,,,,,,,,,,,,,,,,,,
Theater District,4624,,,,,,,,,,,,,,,,,,,,,,,,
West Village,4459,,,,,,,,,,,,,,,,,,,,,,,,
East Village,3988,,,,,,,,,,,,,,,,,,,,,,,,
SoHo,2886,,,,,,,,,,,,,,,,,,,,,,,,
Murray Hill,2689,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich Village,2485,,,,,,,,,,,,,,,,,,,,,,,,
Gramercy,2052,,,,,,,,,,,,,,,,,,,,,,,,
Kips Bay,2046,,,,,,,,,,,,,,,,,,,,,,,,
Flatiron District,2039,,,,,,,,,,,,,,,,,,,,,,,,
Tribeca,2015,,,,,,,,,,,,,,,,,,,,,,,,
Central Park,1872,,,,,,,,,,,,,,,,,,,,,,,,
LaGuardia Airport,1807,,,,,,,,,,,,,,,,,,,,,,,,
Lower East Side,1788,,,,,,,,,,,,,,,,,,,,,,,,
East Harlem,1682,,,,,,,,,,,,,,,,,,,,,,,,
John F. Kennedy International Airport,1476,,,,,,,,,,,,,,,,,,,,,,,,
Financial District,1452,,,,,,,,,,,,,,,,,,,,,,,,
Harlem,1164,,,,,,,,,,,,,,,,,,,,,,,,
Morningside Heights,1135,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,1049,,,,,,,,,,,,,,,,,,,,,,,,
NoHo,770,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,693,,,,,,,,,,,,,,,,,,,,,,,,
Nolita,560,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown,542,,,,,,,,,,,,,,,,,,,,,,,,
Stuyvesant Town,412,,,,,,,,,,,,,,,,,,,,,,,,
Long Island City,348,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,228,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,222,,,,,,,,,,,,,,,,,,,,,,,,
Park Slope,191,,,,,,,,,,,,,,,,,,,,,,,,
Little Italy,178,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Brooklyn,155,,,,,,,,,,,,,,,,,,,,,,,,
Fort Greene,142,,,,,,,,,,,,,,,,,,,,,,,,
Greenpoint,139,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Heights,133,,,,,,,,,,,,,,,,,,,,,,,,
Carroll Gardens,120,,,,,,,,,,,,,,,,,,,,,,,,
Washington Heights,113,,,,,,,,,,,,,,,,,,,,,,,,
DUMBO,107,,,,,,,,,,,,,,,,,,,,,,,,
Cobble Hill,92,,,,,,,,,,,,,,,,,,,,,,,,
Boerum Hill,85,,,,,,,,,,,,,,,,,,,,,,,,
East Elmhurst,83,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside,76,,,,,,,,,,,,,,,,,,,,,,,,
Bedford-Stuyvesant,76,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Heights,66,,,,,,,,,,,,,,,,,,,,,,,,
Bushwick,60,,,,,,,,,,,,,,,,,,,,,,,,
Ditmars Steinway,57,,,,,,,,,,,,,,,,,,,,,,,,
Crown Heights,47,,,,,,,,,,,,,,,,,,,,,,,,
Mott Haven,44,,,,,,,,,,,,,,,,,,,,,,,,
Highbridge,40,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Hill,40,,,,,,,,,,,,,,,,,,,,,,,,
Two Bridges,40,,,,,,,,,,,,,,,,,,,,,,,,
South Slope,33,,,,,,,,,,,,,,,,,,,,,,,,
Woodside,28,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Heights,27,,,,,,,,,,,,,,,,,,,,,,,,
Gowanus,26,,,,,,,,,,,,,,,,,,,,,,,,
Morrisania,22,,,,,,,,,,,,,,,,,,,,,,,,
Elmhurst,20,,,,,,,,,,,,,,,,,,,,,,,,
Randall's Island,16,,,,,,,,,,,,,,,,,,,,,,,,
Concourse Village,14,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Park,14,,,,,,,,,,,,,,,,,,,,,,,,
Concourse,14,,,,,,,,,,,,,,,,,,,,,,,,
Prospect-Lefferts Gardens,11,,,,,,,,,,,,,,,,,,,,,,,,
Roosevelt Island,10,,,,,,,,,,,,,,,,,,,,,,,,
Inwood,9,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,9,,,,,,,,,,,,,,,,,,,,,,,,
Maspeth,8,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills,7,,,,,,,,,,,,,,,,,,,,,,,,
Longwood,7,,,,,,,,,,,,,,,,,,,,,,,,
Rego Park,6,,,,,,,,,,,,,,,,,,,,,,,,
Flatbush,6,,,,,,,,,,,,,,,,,,,,,,,,
Port Morris,5,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Park,5,,,,,,,,,,,,,,,,,,,,,,,,
Midwood,5,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,5,,,,,,,,,,,,,,,,,,,,,,,,
Richmond Hill,5,,,,,,,,,,,,,,,,,,,,,,,,
Columbia St,4,,,,,,,,,,,,,,,,,,,,,,,,
Fordham,4,,,,,,,,,,,,,,,,,,,,,,,,
Red Hook,4,,,,,,,,,,,,,,,,,,,,,,,,
Corona,4,,,,,,,,,,,,,,,,,,,,,,,,
Flushing,3,,,,,,,,,,,,,,,,,,,,,,,,
Kensington,3,,,,,,,,,,,,,,,,,,,,,,,,
Flushing Meadows Corona Park,2,,,,,,,,,,,,,,,,,,,,,,,,
Middle Village,2,,,,,,,,,,,,,,,,,,,,,,,,
Allerton,2,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,2,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,2,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Park,2,,,,,,,,,,,,,,,,,,,,,,,,
Claremont Village,2,,,,,,,,,,,,,,,,,,,,,,,,
Gravesend,2,,,,,,,,,,,,,,,,,,,,,,,,
Kew Gardens,2,,,,,,,,,,,,,,,,,,,,,,,,
Navy Yard,2,,,,,,,,,,,,,,,,,,,,,,,,
Kingsbridge,2,,,,,,,,,,,,,,,,,,,,,,,,
Soundview,2,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,1,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica Hills,1,,,,,,,,,,,,,,,,,,,,,,,,
Marble Hill,1,,,,,,,,,,,,,,,,,,,,,,,,
Melrose,1,,,,,,,,,,,,,,,,,,,,,,,,
North Riverdale,1,,,,,,,,,,,,,,,,,,,,,,,,
Ridgewood,1,,,,,,,,,,,,,,,,,,,,,,,,
Sea Gate,1,,,,,,,,,,,,,,,,,,,,,,,,
West Farms,1,,,,,,,,,,,,,,,,,,,,,,,,
Brighton Beach,1,,,,,,,,,,,,,,,,,,,,,,,,
Morris Park,1,,,,,,,,,,,,,,,,,,,,,,,,
Mount Eden,1,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,1,,,,,,,,,,,,,,,,,,,,,,,,
Windsor Terrace,1,,,,,,,,,,,,,,,,,,,,,,,,
Kew Gardens Hills,1,,,,,,,,,,,,,,,,,,,,,,,,
Laurelton,1,,,,,,,,,,,,,,,,,,,,,,,,
Mount Hope,1,,,,,,,,,,,,,,,,,,,,,,,,
Co-op City,1,,,,,,,,,,,,,,,,,,,,,,,,
Borough Park,1,,,,,,,,,,,,,,,,,,,,,,,,
Clason Point,1,,,,,,,,,,,,,,,,,,,,,,,,
Dyker Heights,1,,,,,,,,,,,,,,,,,,,,,,,,
Fort Hamilton,1,,,,,,,,,,,,,,,,,,,,,,,,
Marine Park,1,,,,,,,,,,,,,,,,,,,,,,,,
Vinegar Hill,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
