Fair,Count
2.5,677937
3.5,2844509
4.5,10296335
5.5,15794853
6.5,17253792
7.5,16714133
8.5,15311341
9.5,13404290
10.5,11391795
11.5,9532789
12.5,7976899
13.5,6647614
14.5,5549585
15.5,4653620
16.5,3931294
17.5,3343653
18.5,2840605
19.5,2425307
20.5,2092548
21.5,1762432
22.5,1520941
23.5,1334812
24.5,1187860
25.5,1075026
26.5,977049
27.5,899045
28.5,839900
29.5,793004
30.5,742058
31.5,681240
32.5,624287
33.5,561805
34.5,497145
35.5,436631
36.5,373602
37.5,323205
38.5,280625
39.5,244672
40.5,227090
41.5,187414
42.5,167520
43.5,145803
44.5,126469
45.5,136061
46.5,88949
47.5,76343
48.5,65936
49.5,58285
50.5,85548
51.5,47481
52.5,3089162
53.5,44114
54.5,39309
55.5,49528
56.5,33130
57.5,33361
58.5,40107
59.5,27331
60.5,57578
61.5,22305
62.5,24383
63.5,25571
64.5,24465
65.5,36736
66.5,22781
67.5,21571
68.5,21774
69.5,17768
70.5,28660
71.5,14989
72.5,14194
73.5,12556
74.5,9960
75.5,16999
76.5,9111
77.5,6387
78.5,6203
79.5,5133
80.5,15986
81.5,3590
82.5,3709
83.5,3652
84.5,3003
85.5,9364
86.5,2375
87.5,3193
88.5,3331
89.5,2427
90.5,8953
91.5,1627
92.5,2252
93.5,2234
94.5,1752
95.5,4722
96.5,1776
97.5,1994
98.5,1729
99.5,1309
100.5,11205
101.5,980
102.5,2169
103.5,1205
104.5,1697
105.5,1880
106.5,872
107.5,1116
108.5,954
109.5,779
110.5,3789
111.5,1167
112.5,1077
113.5,791
114.5,1369
115.5,1857
116.5,901
117.5,858
118.5,834
119.5,668
120.5,5516
121.5,416
122.5,679
123.5,867
124.5,634
125.5,2046
126.5,752
127.5,509
128.5,566
129.5,344
130.5,2422
131.5,356
132.5,356
133.5,452
134.5,437
135.5,1187
136.5,409
137.5,267
138.5,277
139.5,467
140.5,1908
141.5,214
142.5,429
143.5,345
144.5,213
145.5,649
146.5,328
147.5,277
148.5,242
149.5,184
150.5,3215
151.5,164
152.5,405
153.5,198
154.5,224
155.5,455
156.5,263
157.5,168
158.5,152
159.5,109
160.5,1247
161.5,126
162.5,161
163.5,117
164.5,135
165.5,636
166.5,94
167.5,116
168.5,163
169.5,98
170.5,632
171.5,143
172.5,125
173.5,128
174.5,109
175.5,489
176.5,129
177.5,107
178.5,129
179.5,82
180.5,716
181.5,62
182.5,74
183.5,77
184.5,247
185.5,363
186.5,106
187.5,183
188.5,74
189.5,71
190.5,416
191.5,81
192.5,127
193.5,47
194.5,87
195.5,164
196.5,87
197.5,108
198.5,55
199.5,98
200.5,1529
201.5,29
202.5,162
203.5,60
204.5,78
205.5,71
206.5,51
207.5,60
208.5,58
209.5,230
210.5,210
211.5,48
212.5,95
213.5,37
214.5,47
215.5,106
216.5,35
217.5,54
218.5,52
219.5,25
220.5,274
221.5,56
222.5,93
223.5,23
224.5,20
225.5,155
226.99,22
227.5,23
228.5,84
229.5,60
230.5,172
231.5,24
232.5,24
233.5,20
234.5,24
235.5,60
236.5,28
237.5,48
238.5,25
239.5,14
240.5,160
241.5,13
242.5,29
243.5,20
244.5,37
245.5,78
246.5,37
247.5,70
248.5,19
249.5,29
250.5,529
251.5,15
252.55,14
253.5,15
254.5,15
255.5,35
256.5,42
257.5,24
258.58,14
259.5,13
260.5,201
261.5,9
262.5,10
263.5,15
264.75,13
265.5,29
266.5,13
267.5,13
268.5,27
269.5,8
270.5,78
271.5,19
272.5,18
274,11
274.5,3
275.5,83
276.5,11
277.5,6
278.72,12
279.65,16
280.5,116
281.91,7
282.5,14
283.5,13
284.5,11
285.5,41
286.5,4
288,14
288.5,1
289.5,11
290.83,25
291.5,6
292.75,7
294,7
295,15
296,33
296.5,4
298,27
298.5,2
299.5,9
300.5,394
301.5,4
302.54,5
303.67,3
305,6
305.5,1
306.98,13
307.51,3
308.5,5
309.5,5
311,30
311.5,2
312.5,10
313.5,10
314.66,5
315.75,17
317,7
317.62,1
319,5
319.6,1
321,35
322,5
322.75,2
324,5
325,35
325.5,1
326.5,2
327.72,27
329.99,5
330,11
330.99,3
331.5,3
332.5,12
333.5,7
335,14
335.5,2
337,2
338,2
338.5,1
339.7,8
340.93,26
341.9,1
342.5,8
344.5,2
345,12
345.5,1
346.7,9
347.5,4
349,5
349.5,1
350.55,115
351.5,3
353,3
353.5,1
355,11
355.5,2
358,5
358.05,1
359,125
360,21
363,1
363.65,1
364.74,1
365,6
365.21,12
365.5,1
367,3
368.31,1
369.25,1
369.6,2
370.5,23
372,1
372.85,3
374.54,5
375,14
376,2
376.51,1
378,2
378.9,3
379.98,5
381,16
382,4
382.5,2
384,5
384.5,1
386,9
386.51,1
388,2
390,9
390.07,1
390.87,6
392,3
393.22,1
394,2
395,3
396,2
397.75,2
398,1
399,1
399.8,1
400.87,109
401.71,2
402.75,1
406,4
408,2
408.04,1
408.29,1
410,1
411.11,1
411.56,1
411.69,1
412,1
412.64,4
415,9
416.5,1
417.86,1
418,1
418.81,1
419.18,1
420,8
422.45,1
422.5,1
424.11,1
425,10
425.25,1
425.71,2
429,3
430,4
432,1
433.5,1
434,2
435,2
436,2
438,1
440,4
440.02,1
441,1
442,1
442.96,1
444,1
444.22,15
444.41,1
444.44,1
445,2
447.49,1
448.84,1
449.5,1
450,61
450.01,11
450.04,1
450.75,1
451.83,1
454.64,1
455,1
455.1,2
455.51,1
457.5,3
458,1
459.45,1
460,9
461.64,1
463.31,1
464,1
465,4
468,1
468.05,1
468.16,1
468.5,1
469.9,1
470,11
470.75,1
473,1
474.17,1
474.5,1
475,12
476.66,1
477.76,1
477.83,1
479.4,2
480,6
484,1
485,3
487,2
488.06,1
488.86,13
489,1
490,8
493.85,1
494,2
495,2
495.86,1
497,1
498,2
498.65,1
498.66,1
499,10
499.99,1
500,103
