Fair,Count
2.5,677937
3.5,2844509
4.5,10296335
5.5,15794853
6.5,17253792
7.5,16714133
8.5,15311341
9.5,13404290
10.5,11391795
11.5,9532789
12.5,7976899
13.5,6647614
14.5,5549585
15.5,4653620
16.5,3931294
17.5,3343653
18.5,2840605
19.5,2425307
20.5,2092548
21.5,1762432
22.5,1520941
23.5,1334812
24.5,1187860
25.5,1075026
26.5,977049
27.5,899045
28.5,839900
29.5,793004
30.5,742058
31.5,681240
32.5,624287
33.5,561805
34.5,497145
35.5,436631
36.5,373602
37.5,323205
38.5,280625
39.5,244672
40.5,227090
41.5,187414
42.5,167520
43.5,145803
44.5,126469
45.5,136061
46.5,88949
47.5,76343
48.5,65936
49.5,58285
50.5,85548
51.5,47481
52.5,3089162
53.5,44114
54.5,39309
55.5,49528
56.5,33130
57.5,33361
58.5,40107
59.5,27331
60.5,57578
61.5,22305
62.5,24383
63.5,25571
64.5,24465
65.5,36736
66.5,22781
67.5,21571
68.5,21774
69.5,17768
70.5,28660
71.5,14989
72.5,14194
73.5,12556
74.5,9960
75.5,16999
76.5,9111
77.5,6387
78.5,6203
79.5,5133
