Neighborhood,Value
Midtown,29584333
Upper East Side,23137390
Chelsea,15469886
Upper West Side,14598413
Hell's Kitchen,9013294
East Village,6926421
West Village,6570251
Theater District,6279766
Murray Hill,4497717
SoHo,4069706
Gramercy,3783157
Greenwich Village,3778688
Kips Bay,3561744
LaGuardia Airport,3549580
Tribeca,3065164
Financial District,2940640
John F. Kennedy International Airport,2790231
Flatiron District,2785563
Lower East Side,2776722
Central Park,2440541
East Harlem,1736930
Williamsburg,1623060
Battery Park City,1523980
NoHo,1352359
Morningside Heights,1124334
Harlem,1011216
Stuyvesant Town,807680
Nolita,790246
Chinatown,705282
Long Island City,680392
Astoria,477947
Civic Center,418338
Downtown Brooklyn,366193
Brooklyn Heights,316306
Sunnyside,303380
Little Italy,296206
Park Slope,275700
Carroll Gardens,275666
Greenpoint,263846
Fort Greene,245742
Washington Heights,192411
Boerum Hill,185702
Cobble Hill,160896
East Elmhurst,146543
Prospect Heights,128474
Ditmars Steinway,122853
Woodside,115840
Bedford-Stuyvesant,111762
DUMBO,108004
Clinton Hill,78885
Bushwick,69840
Gowanus,63224
Elmhurst,60235
Crown Heights,55601
South Slope,51803
Forest Hills,50465
Two Bridges,44759
Jackson Heights,43828
Jamaica,32089
Sunset Park,29780
South Ozone Park,27542
Rego Park,26774
Flushing,22548
Mott Haven,22118
Maspeth,21400
Inwood,19124
Flushing Meadows Corona Park,18320
Flatbush,18080
Prospect-Lefferts Gardens,16974
Roosevelt Island,16394
Kensington,15751
Randall's Island,13811
Prospect Park,13708
Columbia St,13305
Concourse,10619
Red Hook,10615
Richmond Hill,10187
Port Morris,8636
Borough Park,8601
Kew Gardens,8124
Vinegar Hill,7772
Midwood,7487
Briarwood,7098
Corona,7050
East Flatbush,7000
Windsor Terrace,5770
Bay Ridge,5615
Ridgewood,4998
Sheepshead Bay,4435
Kingsbridge,4086
Springfield Gardens,4003
Longwood,3881
East New York,3816
Concourse Village,3418
Navy Yard,3324
Kew Gardens Hills,3317
Westchester Square,3207
Ozone Park,3060
Morris Heights,3008
Fort Hamilton,2926
Fordham,2777
Parkchester,2697
Highbridge,2517
Gravesend,2482
Middle Village,2454
Mount Hope,2445
Melrose,2380
Jamaica Hills,2266
Woodhaven,2155
Cypress Hills,2017
Unionport,1992
Canarsie,1943
Bensonhurst,1860
Bellerose,1758
College Point,1724
Flatlands,1709
Brownsville,1702
Soundview,1701
Brighton Beach,1565
Jamaica Estates,1526
Glendale,1524
Mount Eden,1487
Morrisania,1338
Norwood,1277
Dyker Heights,1241
Claremont Village,1183
Queens Village,1182
New Springville,1143
Bayside,1123
University Heights,1085
Marble Hill,1084
Bath Beach,1049
Forest Park,971
Fresh Meadows,902
Howard Beach,841
Riverdale,839
West Farms,814
Rosedale,789
Belmont,773
Whitestone,766
Bronx Park,724
Tremont,699
Allerton,667
Cambria Heights,645
East Morrisania,632
Throgs Neck,624
Hunts Point,618
Woodlawn,604
Van Nest,571
Fieldston,567
Morris Park,530
Spuyten Duyvil,529
Floral Park,503
Green-Wood Cemetery,503
North Riverdale,448
Hollis,448
Wakefield,447
Van Cortlandt Park,441
Marine Park,394
St. Albans,378
Williamsbridge,373
Co-op City,348
Clason Point,345
Bronxdale,325
Schuylerville,322
Bergen Beach,305
Pelham Gardens,289
Pelham Bay,277
Douglaston,263
Ferry Point Park,262
Floyd Bennett Field,262
Rikers Island,259
Coney Island,239
Concord,237
Olinville,233
Laurelton,226
Broad Channel,226
Rossville,226
Baychester,217
Bay Terrace,214
Pelham Bay Park,211
Mill Basin,199
Governors Island,185
Castleton Corners,170
Castle Hill,167
Alley Pond Park,163
Bull's Head,150
Holliswood,149
Little Neck,141
Cunningham Park,137
Emerson Hill,134
Jamaica Bay,128
City Island,126
Country Club,122
Eastchester,119
Shore Acres,116
Edenwald,109
Far Rockaway,105
Hollis Hills,104
Westerleigh,101
Freshkills Park,100
Manhattan Beach,96
Breezy Point,92
West Brighton,91
Todt Hill,91
Randall Manor,90
Crotona Park,90
Plum Beach,88
St. George,83
Stapleton,80
Arrochar,78
Mariners Harbor,78
Park Hill,76
Graniteville,73
Glen Oaks,69
South Beach,63
Latourette Park,58
Arden Heights,56
Rockaway Park,55
Rockaway Beach,53
Dongan Hills,53
Bloomfield,52
Edgemere,50
Clifton,46
Silver Lake,42
Arverne,41
New Dorp,41
Woodrow,40
Belle Harbor,39
Grymes Hill,39
Midland Beach,37
Gerritsen Beach,35
Fort Wadsworth,32
Rosebank,32
Bayswater,32
Port Richmond,31
Huguenot,30
"Chelsea, Staten Island",29
Sea Gate,28
Tottenville,28
Neponsit,26
Eltingville,25
Tompkinsville,24
Ellis Island,22
Prince's Bay,19
Great Kills,18
North Brother Island,18
Oakwood,18
Howland Hook,15
South Brother Island,15
Pleasant Plains,13
Grant City,12
Great Kills Park,12
New Dorp Beach,12
Charleston,11
Richmondtown,11
Willowbrook,10
Hart Island,5
New Brighton,5
Liberty Island,4
"Bay Terrace, Staten Island",4
Pelham Islands,2
Lighthouse Hill,2
Port Ivory,1
Arlington,1
