Neighborhood,Value
Greenwich Village,7986468
East Village,6095348
Murray Hill,5717287
Clinton,5533275
West Village,4519502
Lower East Side,3938677
Soho,3932092
Financial District,3497510
Tribeca,2987226
Central Park,2213119
Carnegie Hill,1885226
North Sutton Area,1807653
Little Italy,1587111
Battery Park,1407511
Yorkville,1298613
Morningside Heights,1139863
Williamsburg,964677
Astoria-Long Island City,854713
Harlem,736268
Chinatown,600771
Sunny Side,583469
East Harlem,514062
Fort Green,461334
Downtown,439241
Carroll Gardens,340399
Hamilton Heights,301519
Boerum Hill,264342
Park Slope,226757
Washington Heights,201884
Woodside,141160
Jackson Heights,131531
Cobble Hill,129032
Bedford-Stuyvesant,84064
Forest Hills,72097
Bushwick,51838
Jamaica,40026
Mott Haven,35114
Flushing,26016
Borough Park,23574
Greenwood,23141
Nkew Gardens,20693
Mapleton-Flatlands,17007
Maspeth,16585
Utopia,14386
High Bridge,12314
Inwood,10702
South Bronx,9462
Sunset Park,9138
Bay Ridge,8004
Corona,7309
Gravesend-Sheepshead Bay,7066
Woodhaven-Richmond Hill,6959
Ridgewood,6882
Parkchester,5829
Springfield Gardens,5727
Morris Heights,5071
East Brooklyn,4107
Middle Village,3447
Canarsie,3327
Tremont,3067
Douglastown-Little Neck,2946
Bensonhurst,2935
Brownsville,2889
Soundview,2682
Kings Bridge,2470
Glendale,2365
Bedford Park,2296
Union Port,2293
University Heights,2229
Fordham,2007
Queensboro Hill,1949
Riverdale,1707
Morris Park,1684
Dyker Heights,1626
Hunts Point,1573
Laurelton,1239
Queens Village,1216
Throggs Neck,1133
Auburndale,1063
Wakefield-Williamsbridge,954
Williams Bridge,919
Spuyten Duyvil,883
Woodlawn-Nordwood,866
Saintalbans,756
Country Club,668
The Rockaways,574
Steinway,418
Flatbush,409
Clearview,356
Baychester,207
City Island,124
Eastchester,4
College Point,2
