Neighborhood,Value
Midtown,19076
Upper East Side,16695
Upper West Side,13121
Chelsea,8290
Hell's Kitchen,4977
Theater District,3498
West Village,2694
Murray Hill,2515
East Village,2494
East Harlem,2147
Kips Bay,1874
SoHo,1786
Greenwich Village,1749
Flatiron District,1700
Gramercy,1662
Harlem,1621
Central Park,1612
Financial District,1481
Tribeca,1246
Morningside Heights,1244
LaGuardia Airport,942
Lower East Side,773
Battery Park City,765
Washington Heights,606
NoHo,555
John F. Kennedy International Airport,435
Long Island City,402
Williamsburg,345
Astoria,328
Stuyvesant Town,316
Chinatown,272
Nolita,256
Civic Center,186
Sunnyside,166
Inwood,132
Greenpoint,110
Ditmars Steinway,105
Brooklyn Heights,99
Downtown Brooklyn,94
Park Slope,85
Little Italy,83
Woodside,76
Maspeth,66
Bedford-Stuyvesant,64
Carroll Gardens,59
East Elmhurst,55
Bushwick,55
Fort Greene,52
Clinton Hill,48
Crown Heights,45
Jackson Heights,44
Boerum Hill,38
Elmhurst,38
Mott Haven,32
Gowanus,32
Ridgewood,30
Prospect Heights,28
Two Bridges,28
Rego Park,26
DUMBO,26
South Slope,25
Riverdale,24
Sunset Park,24
Cobble Hill,23
Kingsbridge,23
Roosevelt Island,23
Forest Hills,20
Randall's Island,18
Flushing,18
Fieldston,16
Flatbush,16
Prospect-Lefferts Gardens,15
Vinegar Hill,15
Bay Ridge,14
Concourse Village,13
Spuyten Duyvil,13
Borough Park,13
Fort Hamilton,12
Concourse,11
Woodlawn,11
Prospect Park,10
East Flatbush,10
Columbia St,9
Windsor Terrace,9
Red Hook,9
Midwood,8
Claremont Village,8
Fordham,8
Norwood,8
Corona,8
Longwood,8
Middle Village,7
Port Morris,7
Richmond Hill,7
Kew Gardens,7
Flushing Meadows Corona Park,6
Highbridge,6
Brighton Beach,6
Navy Yard,6
South Ozone Park,6
University Heights,6
Van Cortlandt Park,5
Morris Heights,5
Parkchester,5
Sheepshead Bay,5
Bronxdale,5
Kew Gardens Hills,5
East New York,4
Melrose,4
North Riverdale,4
Pelham Bay,4
Briarwood,4
Morris Park,4
Mount Eden,4
Kensington,4
College Point,4
Morrisania,4
Soundview,4
East Morrisania,3
Marble Hill,3
Wakefield,3
Fresh Meadows,3
Glendale,3
Hunts Point,3
Woodhaven,3
Belmont,3
Dyker Heights,3
Pelham Gardens,2
West Farms,2
Bath Beach,2
Jamaica Estates,2
Gravesend,2
Jamaica,2
Mount Hope,2
South Beach,2
Bayside,2
Ozone Park,2
Westchester Square,2
Brownsville,1
Floral Park,1
Forest Park,1
Glen Oaks,1
Jamaica Hills,1
Whitestone,1
Canarsie,1
Holliswood,1
Mill Basin,1
Rosedale,1
Schuylerville,1
Van Nest,1
Bronx Park,1
Hollis,1
Throgs Neck,1
Bensonhurst,1
Co-op City,1
Flatlands,1
Governors Island,1
Unionport,1
Clason Point,1
Cypress Hills,1
Douglaston,1
Eastchester,1
Lighthouse Hill,1
Manhattan Beach,1
Queens Village,1
Springfield Gardens,1
